,match_uid_question_0,match_uid_question_1,match_uid_question_10,match_uid_question_11,match_uid_question_12,match_uid_question_13,match_uid_question_14,match_uid_question_15,match_uid_question_2,match_uid_question_3,match_uid_question_4,match_uid_question_5,match_uid_question_6,match_uid_question_7,match_uid_question_8,match_uid_question_9,uid_question_0,uid_question_1,uid_question_10,uid_question_11,uid_question_12,uid_question_13,uid_question_14,uid_question_15,uid_question_2,uid_question_3,uid_question_4,uid_question_5,uid_question_6,uid_question_7,uid_question_8,uid_question_9,star_plus
0,Slightly disagree,Neutral,Slightly agree,Slightly agree,Slightly agree,Neutral,Slightly agree,Neutral,Neutral,Neutral,Disagree,Slightly disagree,Neutral,Disagree,Neutral,Agree,,,,,,,,,,,,,,,,,0.75
1,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Neutral,Neutral,,,,,,,,,,,,,,,,,2.0
2,Disagree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,Agree,Agree,,,,,,,,,,,,,,,,,3.0
3,Neutral,Slightly agree,Agree,Slightly agree,Slightly agree,Slightly agree,Agree,Neutral,Slightly disagree,Slightly agree,Neutral,Neutral,Slightly agree,Slightly disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,4.0
4,Neutral,Slightly disagree,Neutral,Slightly disagree,Agree,Slightly agree,Slightly agree,Disagree,Slightly agree,Agree,Slightly disagree,Slightly agree,Slightly agree,Neutral,Neutral,Slightly agree,,,,,,,,,,,,,,,,,5.0
5,,,,,,,,,,,,,,,,,Slightly disagree,Slightly disagree,Agree,Slightly disagree,Agree,Slightly disagree,Slightly agree,Slightly agree,Neutral,Agree,Neutral,Slightly agree,Agree,Slightly agree,Neutral,Agree,5.0
6,Slightly agree,Agree,Slightly agree,Slightly disagree,Neutral,Slightly agree,Neutral,Neutral,Slightly agree,Agree,Neutral,Slightly agree,Neutral,Slightly agree,Neutral,Agree,,,,,,,,,,,,,,,,,1.0
7,,,,,,,,,,,,,,,,,Slightly agree,Agree,Slightly disagree,Slightly disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,5.0
8,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Neutral,Disagree,Agree,Disagree,Slightly agree,Agree,5.0
9,Disagree,Neutral,Disagree,Agree,Slightly agree,Slightly agree,Agree,Neutral,Neutral,Disagree,Neutral,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
10,Neutral,Slightly agree,Slightly disagree,Neutral,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Neutral,Agree,Agree,Slightly disagree,Slightly agree,,,,,,,,,,,,,,,,,2.75
11,,,,,,,,,,,,,,,,,Slightly agree,Disagree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Slightly agree,Slightly disagree,Agree,5.0
12,Slightly disagree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Disagree,Neutral,Slightly agree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Agree,2.0
13,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Neutral,Disagree,Agree,Disagree,Slightly agree,Agree,3.25
14,,,,,,,,,,,,,,,,,Disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Neutral,Slightly agree,Disagree,Slightly agree,Slightly agree,Slightly agree,Neutral,Agree,2.0
15,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Slightly agree,Slightly agree,Agree,Neutral,Neutral,Disagree,Neutral,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,5.0
16,Slightly disagree,Slightly agree,Neutral,Agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Neutral,Slightly agree,Slightly agree,,,,,,,,,,,,,,,,,5.0
17,Slightly disagree,Neutral,Slightly disagree,Neutral,Neutral,Slightly agree,Slightly agree,Neutral,Neutral,Slightly agree,Slightly agree,Neutral,Slightly agree,Disagree,Neutral,Slightly agree,,,,,,,,,,,,,,,,,2.0
18,Disagree,Neutral,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly disagree,Agree,Slightly agree,Slightly disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,2.0
19,Slightly agree,Disagree,Neutral,Slightly agree,Neutral,Slightly disagree,Slightly disagree,Agree,Slightly agree,Neutral,Disagree,Slightly agree,Slightly disagree,Disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,2.5
20,,,,,,,,,,,,,,,,,Disagree,Neutral,Slightly agree,Neutral,Neutral,Neutral,Slightly agree,Neutral,Slightly disagree,Neutral,Neutral,Slightly agree,Neutral,Slightly disagree,Neutral,Slightly agree,5.0
21,Disagree,Neutral,Neutral,Slightly disagree,Disagree,Disagree,Agree,Slightly disagree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Agree,Slightly disagree,Slightly agree,Slightly agree,,,,,,,,,,,,,,,,,2.5
22,Disagree,Slightly agree,Neutral,Slightly disagree,Neutral,Slightly agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Slightly disagree,Agree,,,,,,,,,,,,,,,,,5.0
23,Disagree,Neutral,Disagree,Agree,Slightly agree,Slightly agree,Agree,Neutral,Neutral,Disagree,Neutral,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
24,Slightly agree,Disagree,Neutral,Slightly agree,Neutral,Slightly disagree,Slightly disagree,Agree,Slightly agree,Neutral,Disagree,Slightly agree,Slightly disagree,Disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
25,Neutral,Slightly disagree,Slightly disagree,Agree,Agree,Slightly disagree,Slightly agree,Neutral,Slightly agree,Neutral,Agree,Neutral,Slightly agree,Agree,Neutral,Slightly agree,,,,,,,,,,,,,,,,,4.0
26,,,,,,,,,,,,,,,,,Slightly disagree,Slightly disagree,Slightly agree,Agree,Slightly agree,Agree,Neutral,Agree,Neutral,Slightly agree,Neutral,Neutral,Agree,Slightly agree,Slightly agree,Slightly agree,5.0
27,Slightly disagree,Neutral,Agree,Slightly agree,Neutral,Neutral,Slightly agree,Neutral,Neutral,Slightly agree,Neutral,Neutral,Slightly agree,Neutral,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
28,Neutral,Neutral,Slightly agree,Slightly agree,Neutral,Neutral,Slightly agree,Agree,Slightly agree,Agree,Slightly disagree,Disagree,Slightly agree,Disagree,Neutral,Slightly agree,,,,,,,,,,,,,,,,,2.0
29,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Neutral,Disagree,Agree,Disagree,Slightly agree,Agree,,,,,,,,,,,,,,,,,5.0
30,Disagree,Disagree,Slightly agree,Agree,Agree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Agree,Slightly disagree,Slightly disagree,Slightly agree,,,,,,,,,,,,,,,,,3.0
31,,,,,,,,,,,,,,,,,Slightly disagree,Slightly agree,Neutral,Agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Neutral,Slightly agree,Slightly agree,5.0
32,,,,,,,,,,,,,,,,,Disagree,Slightly disagree,Slightly agree,Agree,Neutral,Slightly disagree,Disagree,Slightly agree,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Agree,2.0
33,,,,,,,,,,,,,,,,,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,2.5
34,,,,,,,,,,,,,,,,,Slightly agree,Slightly agree,Slightly disagree,Agree,Slightly agree,Agree,Slightly disagree,Agree,Slightly agree,Neutral,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly disagree,Agree,2.0
35,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Neutral,Disagree,Agree,Disagree,Slightly agree,Agree,3.25
36,,,,,,,,,,,,,,,,,Slightly agree,Neutral,Slightly disagree,Neutral,Slightly agree,Slightly disagree,Agree,Slightly agree,Neutral,Neutral,Neutral,Neutral,Slightly agree,Slightly agree,Slightly disagree,Agree,4.0
37,Neutral,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Neutral,Disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Agree,,,,,,,,,,,,,,,,,3.5
38,Disagree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,Agree,Agree,,,,,,,,,,,,,,,,,5.0
39,Slightly disagree,Neutral,Neutral,Slightly disagree,Disagree,Slightly agree,Slightly agree,Neutral,Slightly disagree,Slightly agree,Slightly agree,Neutral,Agree,Slightly agree,Slightly disagree,Slightly agree,,,,,,,,,,,,,,,,,5.0
